Team Name
Flamengo
Santos
Palmeiras
Chelsea
Arsenal
Juventus
Inter
Liverpool
Grêmio
Milan
Napoli
Lyon
Lazio
Roma
América
Everton
Bahia
Goiás
Ceará
Torino
Sevilla
Braga
Bolton
Brighton
Huelva
Girona
Nantes
Lecce
Sligo
Rennes
Monaco
Villarreal
Betis
Fenerbahce
Basel
Celtic
Rangers
Alavés
Espanyol
Eibar
Getafe
Genk
Gent
Mainz
Nîmes
Toulouse
Bologna
Parma
Cagliari
Empoli
